canonicalKey,displayName,legacyPageLabel,imageFilename,sourceUrl,altText,imageStatus,confidence
bolillo__plain-roll,Bolillo / Plain roll,Bolillos,021-bolillos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1560793371469-QEH1U3SYHGTX5L1W4T95/IMG_3543.JPG,Photo of Bolillos from Juquilita Bakery.,legacyVerified,high
telera__sandwich-roll,Telera / Sandwich roll,Telera,022-telera.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549137997695-YABSJ3NSXOV6JL4TJSNO/IMG_3544.JPG,Photo of Telera from Juquilita Bakery.,legacyVerified,high
panbasos__pambazo-bread,Panbasos / Pambazo bread,,,,Photo coming soon for Pambazo bread.,needsOwnerPhoto,low
bolinachos__cream-cheese-jalapeno-bread,Bolinachos / Cream cheese jalapeño bread,,,,Photo coming soon for Cream cheese jalapeño bread.,needsOwnerPhoto,low
pan-relleno__stuffed-bread,Pan relleno / Stuffed bread,Stuffed savory breads,182-stuffed-savory-breads.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1686775461371-08IN0R3YLU77C70B2IKL/IMG_2048.jpeg,Open stuffed savory breads arranged in a tray.,legacyVerified,medium
relleno-de-chorizo__chorizo-stuffed-bread,Relleno de chorizo / Chorizo stuffed bread,,,,Photo coming soon for Chorizo stuffed bread.,needsOwnerPhoto,low
pan-amarillo__yellow-bread,Pan amarillo / Yellow bread,,,,Photo coming soon for Yellow bread.,needsOwnerPhoto,low
pan-serrano__serrano-bread,Pan serrano / Serrano bread,,,,Photo coming soon for Serrano bread.,needsOwnerPhoto,low
pan-de-yema__egg-yolk-bread,Pan de yema / Egg yolk bread,Pan de yema muñeco with sesame,186-pan-de-yema-muneco-with-sesame.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1686775480968-TU7997JGECDUQ1KB0B4H/IMG_1734.jpeg,Pan de yema muñeco decorated with sesame seeds and a painted face.,legacyVerified,high
semitas__oaxacan-semitas,Semitas / Oaxacan semitas,,,,Photo coming soon for Oaxacan semitas.,needsOwnerPhoto,low
ojaldra__oaxacan-ojaldra,Ojaldra / Oaxacan ojaldra,,,,Photo coming soon for Oaxacan ojaldra.,needsOwnerPhoto,low
polvoron-de-azucar__sugar-polvoron,Polvorón de azúcar / Sugar polvorón,Polvorones de azúcar,023-polvorones-de-azucar.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549137965975-31RDN7KLK6FAG2DMN72L/IMG_3531.JPG,Photo of Polvorones de azúcar from Juquilita Bakery.,legacyVerified,high
polvoron-con-azucar-rosa__pink-sugar-polvoron,Polvorón con azúcar rosa / Pink sugar polvorón,Pink sugar polvorones,024-pink-sugar-polvorones.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549137970816-1KK6G9CAQABBMIWCHH5M/IMG_3532.JPG,Photo of Pink sugar polvorones from Juquilita Bakery.,legacyVerified,high
lima-con-fresa__jam-sugar-cookie,Lima con fresa / Jam sugar cookie,Lima strawberry jam polvorones,025-lima-strawberry-jam-polvorones.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549137973351-5V0T6IISB27ZI49HAR25/IMG_3533.JPG,Photo of Lima strawberry jam polvorones from Juquilita Bakery.,legacyVerified,high
zurrapa__three-color-polvoron,Zurrapa / Three-color polvorón,Zurrapa three-color polvorones,026-zurrapa-three-color-polvorones.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138049234-MXSQXXUOCQM8D1XFPA5N/IMG_5947.JPG,Photo of Zurrapa three-color polvorones from Juquilita Bakery.,legacyVerified,high
polvoron-con-gragea__sprinkle-polvoron,Polvorón con gragea / Sprinkle polvorón,Sprinkled polvorones,027-sprinkled-polvorones.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1588350552136-8HIPSIO0Y75WHO1DYPRU/IMG_3536.jpg,Photo of Sprinkled polvorones from Juquilita Bakery.,legacyVerified,high
galleta-de-carita__smiley-cookie,Galleta de carita / Smiley cookie,Smiley face cookies,028-smiley-face-cookies.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549171793688-E4P2VNEYY5DITM9TWGPC/0115191104b_2.jpg,Photo of Smiley face cookies from Juquilita Bakery.,legacyVerified,high
galleta-de-corazon__heart-sprinkle-cookie,Galleta de corazón / Heart sprinkle cookie,Heart-shaped sprinkle cookies,029-heart-shaped-sprinkle-cookies.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549171798259-PJSJLSJM6OMXAV5QEFO5/0115191122_2.jpg,Photo of Heart-shaped sprinkle cookies from Juquilita Bakery.,legacyVerified,high
polvoron-con-pedazos-de-chocolate__chocolate-chip-sugar-cookie,Polvorón con pedazos de chocolate / Chocolate-chip sugar cookie,Chocolate chip polvorón,031-chocolate-chip-polvoron.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1560797264099-QD5TYVI33ZT3IEQDDAHA/0614191537b.jpg,Photo of Chocolate chip polvorón from Juquilita Bakery.,legacyVerified,high
galleta-de-gragea__sprinkled-cookie,Galleta de gragea / Sprinkled cookie,Round rainbow sprinkle cookies,032-round-rainbow-sprinkle-cookies.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1560797228633-U06VZWONBFRN169CVXAM/0614191537e.jpg,Round cookies fully covered with rainbow sprinkles.,legacyVerified,high
polvoron-de-nuez__pecan-sugar-cookie,Polvorón de nuez / Pecan sugar cookie,Pecan polvorones,034-pecan-polvorones.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1560797250831-MHGA76QWZMZ5AXKW5HXS/0614191537d.jpg,Photo of Pecan polvorones from Juquilita Bakery.,legacyVerified,high
sandia__watermelon-shaped-cookie,Sandía / Watermelon shaped cookie,Sandía watermelon-shaped cookies,036-sandia-watermelon-shaped-cookies.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167730771-84Q2LU0EXH5LSFYZIOE0/0115190919_2+%281%29.jpg,Photo of Sandía watermelon-shaped cookies from Juquilita Bakery.,legacyVerified,high
concha__concha-sweet-bread,Concha / Concha sweet bread,Conchas,037-conchas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1560793344185-2692QZCQNN9BE506D87C/IMG_3541.JPG,Photo of Conchas from Juquilita Bakery.,legacyVerified,high
chilindrina-de-chocolate__chocolate-chilindrina,Chilindrina de chocolate / Chocolate chilindrina,Chocolate chilindrinas,042-chocolate-chilindrinas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167130546-JDGUIU27SW1ZB3B1MFA7/IMG_5957.JPG,Photo of Chocolate chilindrinas from Juquilita Bakery.,legacyVerified,high
bisquit__sweet-biscuit-bread,Bisquit / Sweet biscuit bread,Bisquit,043-bisquit.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549137979434-ERKD6QDXDBRRTZ5NMVOQ/IMG_3534.JPG,Photo of Bisquit from Juquilita Bakery.,legacyVerified,high
magdalena-simple__plain-magdalena,Magdalena simple / Plain magdalena,Plain magdalenas,045-plain-magdalenas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549171758894-A07Y2UL7YA2PS9QGY1Z5/0115191046_2.jpg,Photo of Plain magdalenas from Juquilita Bakery.,legacyVerified,high
magdalena-con-gragea__sprinkle-magdalena,Magdalena con gragea / Sprinkle magdalena,Magdalenas with sprinkles,044-magdalenas-with-sprinkles.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549137981734-CJGPT4EZ7EFOG7IY53G5/IMG_3535.JPG,Photo of Magdalenas with sprinkles from Juquilita Bakery.,legacyVerified,high
marranito__molasses-pig-cookie-bread,Marranito / Molasses pig cookie bread,Marranitos,046-marranitos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549137988530-L2DNEMA7UZ57YCH73ZXP/IMG_3540.JPG,Photo of Marranitos from Juquilita Bakery.,legacyVerified,high
rehilete-esponjado__fluffy-pinwheel,Rehilete esponjado / Fluffy pinwheel,Rehilete esponjado,067-rehilete-esponjado.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138059903-CEM3YPVUGPB32BH1YE38/IMG_5953.JPG,Photo of Rehilete esponjado from Juquilita Bakery.,legacyVerified,high
nopal__nopal-sweet-bread,Nopal / Nopal sweet bread,Nopal,071-nopal.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1648215697535-8Q1ELU3MBDHW30GRYJ4E/IMG_5975.jpg,Photo of Nopal from Juquilita Bakery.,legacyVerified,high
borracho__borracho-sweet-bread,Borracho / Borracho sweet bread,Borrachos,073-borrachos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138113804-MV2C8E2Z2GJDGWA05A17/IMG_6023.JPG,Photo of Borrachos from Juquilita Bakery.,legacyVerified,high
borracho-de-chocolate__chocolate-borracho,Borracho de chocolate / Chocolate borracho,Chocolate borracho,074-chocolate-borracho.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138113744-GGK003H1YNHA75YR8K1T/IMG_6022.JPG,Photo of Chocolate borracho from Juquilita Bakery.,legacyVerified,high
nube__cloud-bread,Nube / Cloud bread,Nubes,075-nubes.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167109215-PHIUMQ493W2QIJRRQLSB/IMG_5967.JPG,Photo of Nubes from Juquilita Bakery.,legacyVerified,high
bigote__mustache-bread,Bigote / Mustache bread,Bigotes,077-bigotes.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138042247-QKZO07JL202DLNIRP6WN/IMG_5945.JPG,Photo of Bigotes from Juquilita Bakery.,legacyVerified,high
corbata-o-mono__bowtie-bread,Corbata o moño / Bowtie bread,Corbata or moño bowtie bread,078-corbata-or-mono-bowtie-bread.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167109581-VWJSGJXT66KO0A4HZLG3/IMG_5966.JPG,Photo of Corbata or moño bowtie bread from Juquilita Bakery.,legacyVerified,high
chirimoya__chirimoya-bread,Chirimoya / Chirimoya bread,Chirimoyas,080-chirimoyas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138119737-NA3DXDN6E1S2BTWUMDQ0/IMG_6025.JPG,Photo of Chirimoyas from Juquilita Bakery.,legacyVerified,high
alcatraz__alcatraz-bread,Alcatraz / Alcatraz bread,Alcatraz,083-alcatraz.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549165038531-DEHBOI4Z7UNFOLMI3LBW/0115191025c_2.jpg,Photo of Alcatraz from Juquilita Bakery.,legacyVerified,high
boquita__boquita-bread,Boquita / Boquita bread,Boquitas,084-boquitas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549165045012-Z7QGR83Y8F8JCLJCYXK3/0115191025a_2.jpg,Photo of Boquitas from Juquilita Bakery.,legacyVerified,high
tronco__log-bread,Tronco / Log bread,Troncos,085-troncos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138009968-TYRLY0FX3N8KOYQEWVKT/IMG_3548.JPG,Photo of Troncos from Juquilita Bakery.,legacyVerified,high
elotito__corn-shaped-sweet-bread,Elotito / Corn-shaped sweet bread,Elotitos,087-elotitos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549165026019-7HFF4M40F359DYIN2U8A/0115191026d_2.jpg,Photo of Elotitos from Juquilita Bakery.,legacyVerified,high
gusano-polveado__powdered-worm-bread,Gusano polveado / Powdered worm bread,Powdered gusano bread,089-powdered-gusano-bread.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549165025800-2SSPNIDJ3H2ZO0PI4XJ2/0115191026e_2.jpg,Photo of Powdered gusano bread from Juquilita Bakery.,legacyVerified,high
lengua__tongue-shaped-bread,Lengua / Tongue shaped bread,Lenguas,091-lenguas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549165030485-TMBACAI8B0AQ7F4LQPRP/0115191026d_3.jpg,Photo of Lenguas from Juquilita Bakery.,legacyVerified,high
panadero__panadero-sweet-bread,Panadero / Panadero sweet bread,Panadero,097-panadero.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549165005779-OG1RWJI7383D2NWUFPY6/0115191037_2+%281%29.jpg,Photo of Panadero from Juquilita Bakery.,legacyVerified,high
panadero-de-chocolate__chocolate-panadero,Panadero de chocolate / Chocolate panadero,Chocolate panadero,096-chocolate-panadero.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549165003659-R5NHS8ELJ7QMHONE9Y4L/0115191037b_2+%281%29.jpg,Photo of Chocolate panadero from Juquilita Bakery.,legacyVerified,high
nueces-normal__walnut-shaped-bread,Nueces normal / Walnut-shaped bread,Plain nueces,100-plain-nueces.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1560797307672-E62NMRBWX3HSFIR0FEYZ/0614191537a.jpg,Photo of Plain nueces from Juquilita Bakery.,legacyVerified,high
pan-de-manteca__shortening-bread,Pan de manteca / Shortening bread,,,,Photo coming soon for Shortening bread.,needsOwnerPhoto,low
piedra__piedra-bread,Piedra / Piedra bread,Piedras,047-piedras.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138027179-5GRLI56U5F65WO4NH4NF/IMG_3566.JPG,Photo of Piedras from Juquilita Bakery.,legacyVerified,high
ladrillo__brick-bread,Ladrillo / Brick bread,Ladrillos,048-ladrillos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138020133-LKM5PH85KZLGBM1MATGN/IMG_3565.JPG,Photo of Ladrillos from Juquilita Bakery.,legacyVerified,high
cuerno__horn-bread,Cuerno / Horn bread,Cuerno,049-cuerno.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167072859-4HTCQX93OLPJ3OSU5SM6/IMG_5987.JPG,Photo of Cuerno from Juquilita Bakery.,legacyVerified,high
arete__ring-bread,Arete / Ring bread,Aretes,050-aretes.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167080145-6C9AHFYT4ELGQPA5LOQY/IMG_5983.JPG,Photo of Aretes from Juquilita Bakery.,legacyVerified,high
